prefix,title,primary,secondary,number,suffix,fuller form,birth date,death date,auth link,source
,Baron,Charnwood,Godfrey Rathbone Benson,,,,1864,1945,http://id.loc.gov/authorities/names/n89600070,lcnaf
,Baron,Dunsany,Edward John Moreton Drax Plunkett,,,,1878,1957,http://id.loc.gov/authorities/names/n80005394,lcnaf
,Baron,Kessenich,Michiels van,,,,,,,lcnaf
,Baron,Korff,S. A.,,,Sergei Aleksandrovich,1876,1924,http://id.loc.gov/authorities/names/no89011611,lcnaf
,Conte,Sforza,Carlo,,,,1872,1952,http://id.loc.gov/authorities/names/n82134292,lcnaf
,Dalai Lama XIV,Bstan-'dzin-rgya-mtsho,,,,,1935,,,lcnaf
,Dame,Anderson,Judith,,,,1898,,,lcnaf
,Duke,,Ellington,,,,1899,1974,http://id.loc.gov/authorities/names/n50080187,lcnaf
,Emperor of Ethiopia,,Haile Selassie I,,,,1892,1975,http://id.loc.gov/authorities/names/n79043431,lcnaf
,Lady,Johnson,Bird,,,,1912,2007,http://id.loc.gov/authorities/names/n50038949,lcnaf
,Madame,Bonnaud,A.,,,,,,,lcnaf
,Marquis,Childs,W.,,,Marquis William,1903,1990,http://id.loc.gov/authorities/names/n79133229,lcnaf
Mr.,,Fletcher,,,,Duncan Upshaw,1859,1936,http://id.loc.gov/authorities/names/no94025788,lcnaf
Mr.,,Gore,,,,Thomas Pryor,1870,1949,,lcnaf
Mr.,,Spaulding,,,,Oliver Lyman,1833,1922,http://id.loc.gov/authorities/names/no94008169,lcnaf
Mr.,,Stockbridge,,,,Francis Brown,1826,1894,,lcnaf
Mr.,,Willits,,,,Edwin,1830,1896,http://id.loc.gov/authorities/names/no94032288,lcnaf
Mrs.,,Baker,Frank C.,,,,,,,lcnaf
Mrs.,,Ehlers,John,,,,,,,lcnaf
Mrs.,,Hartzell,Morton C.,,,,,,,lcnaf
Mrs.,,Keeler,Hugh Blenn,,,,,,,lcnaf
Mrs.,,King,Francis,,,,1863,1948,http://id.loc.gov/authorities/names/nr95001834,lcnaf
Mrs.,,Lanier,Charles D.,,,,,,,lcnaf
Mrs.,,McCoy,Robbie,,,,,,,lcnaf
Mrs.,,Pope,Ira Greer,,,,,,,lcnaf
Mrs.,,Putnam,William Lowell,,,,1862,1935,http://id.loc.gov/authorities/names/nr92027441,lcnaf
Mrs.,,Stanley,David,,,,,,,lcnaf
Mrs.,,Taylor,Howell,,,,,,,lcnaf
Mrs.,,Walker,Chester,,,,,,,lcnaf
Mrs.,,Williams,G. Mennen,,,,,,http://id.loc.gov/authorities/names/n80070288,lcnaf
,officer of the,People,Anonymous Association of Suburban,,,,,,,lcnaf
,Pope,John Paul,,II,,,1920,2005,,lcnaf
,Pope,John Paul,,II,,,1920,2005,http://id.loc.gov/authorities/names/n78078345,lcnaf
,Prince,,Norodom Sihanouk,,,,1922,2012,http://id.loc.gov/authorities/names/n79139063,lcnaf
,Princess,,Der Ling,,,,,,http://id.loc.gov/authorities/names/n50005213,lcnaf
,Queen of Great Britain,Elizabeth,,II,,,1926,,,lcnaf
,Queen of the Netherlands,,Juliana,,,,1909,2004,http://id.loc.gov/authorities/names/n79127121,lcnaf
,Sir,Angell,Norman,,,,1874,1967,http://id.loc.gov/authorities/names/n79043566,lcnaf
,Sir,Bantock,Granville,,,,1868,1946,http://id.loc.gov/authorities/names/n81140125,lcnaf
,Sir,Benedict,Julius,,,,1804,1885,http://id.loc.gov/authorities/names/n81055096,lcnaf
,Sir,Bennett,William Sterndale,,,,1816,1875,http://id.loc.gov/authorities/names/n79072702,lcnaf
,Sir,Bose,Jagadis Chandra,,,,1858,1937,http://id.loc.gov/authorities/names/n84806202,lcnaf
,Sir,Bragg,William Henry,,,,1862,1942,http://id.loc.gov/authorities/names/n79104208,lcnaf
