old,new
"Johnson, Lyndon B. (Lyndon Baines), 1908-1973","Johnson, Lyndon B. (Lyndon Baines), 1908-1973"
"Kennedy, John F. (John Fitzgerald), 1917-1963","Kennedy, John F. (John Fitzgerald), 1917-1963"
"Johnson, Lyndon B. (Lyndon Baines), 1908-1973","Johnson, Lyndon B. (Lyndon Baines), 1908-1973"
"Kennedy, John F. (John Fitzgerald), 1917-1963","Kennedy, John F. (John Fitzgerald), 1917-1963"
"Adams, Paul L. (Paul Lincoln), 1908-","Adams, Paul L. (Paul Lincoln), 1908-"
"Aigler, Ralph W. (Ralph William), 1885-","Aigler, Ralph W. (Ralph William), 1885-"
"Aigler, Ralph W. (Ralph William), 1885-","Aigler, Ralph W. (Ralph William), 1885-"
"Crisler, H. O. (Herbert Orin), 1899-1982","Crisler, H. O. (Herbert Orin), 1899-1982"
"Wilson, Kenneth L. (Kenneth Leon), 1896-1979","Wilson, Kenneth L. (Kenneth Leon), 1896-1979"
"Cleven, N. Andrew N. (Nels Andrew Nelson), 1874-1961","Cleven, N. Andrew N. (Nels Andrew Nelson), 1874-1961"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Donovan, William J. (William Joseph), 1883-1959","Donovan, William J. (William Joseph), 1883-1959"
"Haring, C. H. (Clarence Henry), 1885-1960","Haring, C. H. (Clarence Henry), 1885-1960"
"Parry, J. H. (John Horace), 1914-1982","Parry, J. H. (John Horace), 1914-1982"
"Rippy, J. Fred (James Fred), 1892-1977","Rippy, J. Fred (James Fred), 1892-1977"
"Shiels, W. Eugene (William Eugene), 1897-","Shiels, W. Eugene (William Eugene), 1897-"
"Taft, Robert A. (Robert Alphonso), 1889-1953","Taft, Robert A. (Robert Alphonso), 1889-1953"
"Wilgus, A. Curtis (Alva Curtis), 1897-1981","Wilgus, A. Curtis (Alva Curtis), 1897-1981"
"Curtis-Smith, C. (Curtis), 1941-2014","Curtis-Smith, C. (Curtis), 1941-2014"
"Curtis-Smith, C. (Curtis), 1941-2014","Curtis-Smith, C. (Curtis), 1941-2014"
"Malcolm, George A. (George Arthur), 1881-1961","Malcolm, George A. (George Arthur), 1881-1961"
"Townsend, Charles E. (Charles Elroy), 1856-1924","Townsend, Charles E. (Charles Elroy), 1856-1924"
"Blackmur, R.P. (Richard P.), 1904-1965","Blackmur, R.P. (Richard P.), 1904-1965"
"Buckley, William F. (William Frank), Jr., 1925-2008","Buckley, William F. (William Frank), Jr., 1925-2008"
"Nixon, Richard M. (Richard Milhous), 1913-1994","Nixon, Richard M. (Richard Milhous), 1913-1994"
"Griffiths, Martha W. (Martha Wright), 1912-2003","Griffiths, Martha W. (Martha Wright), 1912-2003"
"Allen, B. E. (Basil Ernest), 1919-","Allen, B. E. (Basil Ernest), 1919-"
"Allen, B. E. (Basil Ernest), 1919-","Allen, B. E. (Basil Ernest), 1919-"
"Allen, Emmet O. (Emmet Oliver), 1846-1933","Allen, Emmet O. (Emmet Oliver), 1846-1933"
"Seaman, Ezra C. (Ezra Champion), 1805-1880","Seaman, Ezra C. (Ezra Champion), 1805-1880"
"Vaughan, Victor C. (Victor Clarence), 1851-1929","Vaughan, Victor C. (Victor Clarence), 1851-1929"
"Edwards, J. Edgar (Joseph Edgar), 1909-1973","Edwards, J. Edgar (Joseph Edgar), 1909-1973"
"Edwards, J. Edgar (Joseph Edgar), 1909-1973","Edwards, J. Edgar (Joseph Edgar), 1909-1973"
"Frank, Jerome D. (Jerome David), 1909-2005","Frank, Jerome D. (Jerome David), 1909-2005"
"Dunford, Edward B. (Edward Bradstreet), 1890-1966","Dunford, Edward B. (Edward Bradstreet), 1890-1966"
