ORIGINAL,uri
"Willys-Overland Motors, Inc.",/agents/corporate_entities/8832
"St. Thomas Evangelical Lutheran Church (Ann Arbor, Mich.)",/agents/corporate_entities/8833
"United States. Army. Michigan Cavalry Regiment, 3rd (1861-1866)",/agents/corporate_entities/8834
"Cadillac Boulevard Presbyterian Church (Detroit, Mich.)",/agents/corporate_entities/8835
Michigan Audio-Visual Association.,/agents/corporate_entities/8836
Michigan Potato Growers Exchange.,/agents/corporate_entities/8837
Society of American Archivists. University of Michigan Student Chapter.,/agents/corporate_entities/8838
Motown Record Corporation,/agents/corporate_entities/8839
Association of College and Research Libraries.,/agents/corporate_entities/8840
Emmet County Park and Recreation Commission.,/agents/corporate_entities/8841
Ann Arbor (Mich.). Park Commission.,/agents/corporate_entities/8842
Fry and Kasurin.,/agents/corporate_entities/8843
University of Michigan. News and Information Services.,/agents/corporate_entities/8844
Mason Hall (University of Michigan : 1841-1950),/agents/corporate_entities/8845
Pittsfield Charter Township (Mich.),/agents/corporate_entities/8846
University of Michigan. Office for the Study of Automotive Transportation.,/agents/corporate_entities/8847
University of Michigan. School of Public Policy.,/agents/corporate_entities/8848
"Independent Order of Odd Fellows. Wolverine Lodge no. 197 (Milan, Mich.)",/agents/corporate_entities/8849
New York (N.Y.). City Affairs Committee.,/agents/corporate_entities/8850
University of Michigan. Project on Asian Studies in Education.,/agents/corporate_entities/8851
Louisiana & Pacific Railway Company.,/agents/corporate_entities/8852
Inter-University Committee for Debate on Foreign Policy.,/agents/corporate_entities/8853
Direct Action Committee.,/agents/corporate_entities/8854
University of Michigan. Adult Lifestyle Program.,/agents/corporate_entities/8855
Michigan Organization for the Repeal of Abortion Laws.,/agents/corporate_entities/8856
Michigan Youth Commission.,/agents/corporate_entities/8857
Winton Motor Carriage Company,/agents/corporate_entities/8858
"Church of the Incarnation (Detroit, Mich.)",/agents/corporate_entities/8859
University of Michigan. Women in Science and Engineering Program.,/agents/corporate_entities/8860
"McNamee, Porter, and Seeley.",/agents/corporate_entities/8861
"Pittsfield Union Grange, No. 882 (Washtenaw County, Mich.)",/agents/corporate_entities/8862
"Washtenaw County Courthouse (Ann Arbor, Mich.)",/agents/corporate_entities/8863
Michigan Veterans Trust Fund.,/agents/corporate_entities/8864
University of Michigan. Webster Debating Society.,/agents/corporate_entities/8865
American Vigilant Intelligence Federation.,/agents/corporate_entities/8866
East Quadrangle (University of Michigan),/agents/corporate_entities/8867
Women for Humphrey.,/agents/corporate_entities/8868
University of Michigan. Hygienic Laboratory.,/agents/corporate_entities/8869
University of Michigan. Museum Practice Program.,/agents/corporate_entities/8870
Detroit (Mich.). Police Department.,/agents/corporate_entities/8871
National Council of the Churches of Christ in the United States of America.,/agents/corporate_entities/8872
Citizens' Industrial Association of America.,/agents/corporate_entities/8873
"St. Stephen's Episcopal Church (Escanaba, Mich.)",/agents/corporate_entities/8874
Rainbow Corporation.,/agents/corporate_entities/8875
Michigan Joint Committee on Health Education.,/agents/corporate_entities/8876
Ann Arbor High School (Mich.). Class of 1915.,/agents/corporate_entities/8877
Campaign for Equality (Organization),/agents/corporate_entities/8878
"Tuomy Hills Gas Station (Ann Arbor, Mich.)",/agents/corporate_entities/8879
Latin American Solidarity Committee.,/agents/corporate_entities/8880
Detroit Digital Justice Coalition.,/agents/corporate_entities/8881
University of Michigan. Dept. of Psychiatry.,/agents/corporate_entities/8882
University of Michigan. Center for International Business Education.,/agents/corporate_entities/8883
Union Party (1936-1938),/agents/corporate_entities/8884
University of Michigan. Faculty Women's Club.,/agents/corporate_entities/8885
United States. District Court (Michigan : Western District),/agents/corporate_entities/8886
Michigan. Dept. of Attorney General.,/agents/corporate_entities/8887
Mills and Lacey Manufacturing Company.,/agents/corporate_entities/8888
National Woman's Party.,/agents/corporate_entities/8889
Crusade for Freedom.,/agents/corporate_entities/8890
Detroit (Mich.). Mayor's Interracial Committee.,/agents/corporate_entities/8891
United States. Army Air Corps.,/agents/corporate_entities/8892
Sunday River Resort.,/agents/corporate_entities/8893
Society for the Advancement of India.,/agents/corporate_entities/8894
Penn Central Transportation Company,/agents/corporate_entities/8895
University of Michigan. Michigras Committee.,/agents/corporate_entities/8896
America First Party.,/agents/corporate_entities/8897
University of Michigan. Dept. of Human Genetics.,/agents/corporate_entities/8898
University of Michigan. Dept. of Geology.,/agents/corporate_entities/8899
"St. Michael Lutheran Church (Plymouth, Mich.)",/agents/corporate_entities/8900
University of Michigan. School of Social Work.,/agents/corporate_entities/8901
University of Michigan. Dept. of Library Science.,/agents/corporate_entities/8902
"Bronson Methodist Hospital (Kalamazoo, Mich)",/agents/corporate_entities/8903
United States. President's Committee on Mental Retardation.,/agents/corporate_entities/8904
University of Michigan. Vice-President and Dean of Faculties.,/agents/corporate_entities/8905
American Federation of Muslims of Indian Origin.,/agents/corporate_entities/8906
Michigan School for the Blind.,/agents/corporate_entities/8907
President's House (University of Michigan),/agents/corporate_entities/8908
Planned Parenthood of Mid-Michigan.,/agents/corporate_entities/8909
Amateur Fencers League of America.,/agents/corporate_entities/8910
University of Michigan. Museums.,/agents/corporate_entities/8911
Detroit Bar Association.,/agents/corporate_entities/8912
Fred Sanders (Firm),/agents/corporate_entities/8913
Export-Import Bank of Washington.,/agents/corporate_entities/8914
Legal Research Building (University of Michigan),/agents/corporate_entities/8915
Community Action on Substance Abuse.,/agents/corporate_entities/8916
University of Michigan. Business Office.,/agents/corporate_entities/8917
"United States. Army. Illinois Infantry Regiment, 52nd (1861-1865)",/agents/corporate_entities/8918
Dort Motor Car Company.,/agents/corporate_entities/8919
India Independence League of America.,/agents/corporate_entities/8920
University of Michigan. Controller.,/agents/corporate_entities/8921
"Fisher Grange, No. 790 (Alcona County, Mich.)",/agents/corporate_entities/8922
Michigan League for Planned Parenthood.,/agents/corporate_entities/8923
"Eastwood Church of God (Kalamazoo, Mich.)",/agents/corporate_entities/8924
International Olympic Committee.,/agents/corporate_entities/8925
University of Michigan. Gerald R. Ford School of Public Policy.,/agents/corporate_entities/8926
Mackenzie High School/Residential College Educational Project.,/agents/corporate_entities/8927
"Zion Lutheran Church (Le Roy, Mich.)",/agents/corporate_entities/8928
"Parents, Families and Friends of Lesbians and Gays. Lansing Area chapter.",/agents/corporate_entities/8929
University of Michigan. Transportation Research Institute.,/agents/corporate_entities/8930
[Ukrainian-American organizations and institutions],/agents/corporate_entities/8931
Bentley Historical Library.,/agents/corporate_entities/8932
Geddes Mill.,/agents/corporate_entities/8933
"Church of the Holy Spirit (Livonia, Mich.)",/agents/corporate_entities/8934
Modern Woodmen of America.,/agents/corporate_entities/8935
American Indian Defense Association.,/agents/corporate_entities/8936
"Little River Band of Ottawa Indians, Michigan.",/agents/corporate_entities/8937
University of Michigan. Center for Chinese Studies.,/agents/corporate_entities/8938
Herbert C. Jackson (Ship),/agents/corporate_entities/8939
"A. W. Curtis Laboratories (Detroit, Mich.)",/agents/corporate_entities/8940
"United States. Army. Michigan Infantry Regiment, 23rd (1862-1865). Company A.",/agents/corporate_entities/8941
Michigan Soldiers Relief Association.,/agents/corporate_entities/8942
University of Michigan. Division of Biological Sciences.,/agents/corporate_entities/8943
African Methodist Episcopal Church,/agents/corporate_entities/8944
University of Michigan. Dept. of History.,/agents/corporate_entities/8945
"Edwards Brothers, Inc.",/agents/corporate_entities/8946
"Rentschler's Studio (Ann Arbor, Mich.)",/agents/corporate_entities/8947
"Haller Jewelry (Store : Ann Arbor, Mich.)",/agents/corporate_entities/8948
City University of New York,/agents/corporate_entities/8949
"Fort Shelby Hotel (Detroit, Mich.)",/agents/corporate_entities/8950
Michigan State College of Agriculture and Applied Science.,/agents/corporate_entities/8951
Waterford Center (Mich.),/agents/corporate_entities/8952
University of Michigan. Medical Center.,/agents/corporate_entities/8953
"Washtenaw Abstract Company (Ann Arbor, Mich.)",/agents/corporate_entities/8954
"United States. Army. Michigan Infantry Regiment, 19th (1862-1865)",/agents/corporate_entities/8955
Hyatt Regency Dearborn.,/agents/corporate_entities/8956
University of Michigan. Dept. of Geological Sciences.,/agents/corporate_entities/8957
University of Michigan. Office of Lesbian Gay Bisexual and Transgender Affairs.,/agents/corporate_entities/8958
Muehlig Funeral Chapel.,/agents/corporate_entities/8959
University of Michigan. Task Force on Alcohol and Other Drugs.,/agents/corporate_entities/8960
Women's International League for Peace and Freedom. Ann Arbor - Ypsilanti Branch.,/agents/corporate_entities/8961
United States. Dept. of Commerce.,/agents/corporate_entities/8962
Michigan Welfare League.,/agents/corporate_entities/8963
"First Presbyterian Church (Iowa City, Iowa)",/agents/corporate_entities/8964
Gamma Phi Beta. Beta Chapter (University of Michigan),/agents/corporate_entities/8965
Detroit Pistons (Basketball team),/agents/corporate_entities/8966
University of Michigan. Program in American Culture.,/agents/corporate_entities/8967
Barbour Gymnasium (University of Michigan),/agents/corporate_entities/8968
Society for Electrical Development.,/agents/corporate_entities/8969
University of Michigan. Information Technology General Council.,/agents/corporate_entities/8970
"St. Thomas the Apostle Church (Ann Arbor, Mich.)",/agents/corporate_entities/8971
"Marshall College (Marshall, Mich.)",/agents/corporate_entities/8972
Wilson Mower Pursuit (Musical group),/agents/corporate_entities/8973
National Association of Negro Business and Professional Women's Clubs. Battle Creek Club.,/agents/corporate_entities/8974
Children (Musical group),/agents/corporate_entities/8975
University of Michigan. Life Sciences Initiative.,/agents/corporate_entities/8976
University of Michigan. Dept. of Anthropology.,/agents/corporate_entities/8977
Michigan. State Board of Education.,/agents/corporate_entities/8978
"St. Francis Episcopal Church (Orangeville, Mich.)",/agents/corporate_entities/8979
Michigan Union Opera,/agents/corporate_entities/8980
Theatre for Victory Council.,/agents/corporate_entities/8981
University of Michigan. Provost.,/agents/corporate_entities/8982
Citizens to Save Our State.,/agents/corporate_entities/8983
Oxford Housing (University of Michigan),/agents/corporate_entities/8984
Edmund Fitzgerald (Ship),/agents/corporate_entities/8985
University of Michigan. Dept. of Law. Class of 1886.,/agents/corporate_entities/8986
Protestants and Other Americans United for Separation of Church and State.,/agents/corporate_entities/8987
"Miles-Sinclair House (Ann Arbor, Mich.)",/agents/corporate_entities/8988
Liz Lerman Dance Exchange.,/agents/corporate_entities/8989
Statewide Technical Assistance Network in Special Education.,/agents/corporate_entities/8990
University of Michigan. Program for Educational Opportunity.,/agents/corporate_entities/8991
"St. James Episcopal Church (Cheboygan, Mich.)",/agents/corporate_entities/8992
University of Michigan. Department of Physiology.,/agents/corporate_entities/8993
University of Michigan. College of Pharmacy.,/agents/corporate_entities/8994
General Motors Corporation. Oldsmobile Division,/agents/corporate_entities/8995
"First United Methodist Church of Ann Arbor (Ann Arbor, Mich.)",/agents/corporate_entities/8996
"Grand Rapids Public Library (Grand Rapids, Mich.)",/agents/corporate_entities/8997
University of Michigan. Center for South and Southeast Asian Studies.,/agents/corporate_entities/8998
"Order of Pythian Sisters. Huron-Arbor Temple no. 66 (Ypsilanti, Mich.)",/agents/corporate_entities/8999
Michigan Alzheimer's Disease Research Center.,/agents/corporate_entities/9000
General Federation of Women's Clubs.,/agents/corporate_entities/9001
Cass Scenic Railroad.,/agents/corporate_entities/9002
American National Red Cross. Ingham County Chapter.,/agents/corporate_entities/9003
United States. National Advisory Commission on Libraries.,/agents/corporate_entities/9004
"Vernor's, Inc.",/agents/corporate_entities/9005
"University of Michigan. College of Literature, Science, and the Arts.",/agents/corporate_entities/9006
University of Michigan. Class of 1868.,/agents/corporate_entities/9007
United States. Federal Glass Ceiling Commission.,/agents/corporate_entities/9008
India Society of America.,/agents/corporate_entities/9009
"American Legion. Christian Post no. 278 (Detroit, Mich.)",/agents/corporate_entities/9010
American Federation of Information Processing Societies.,/agents/corporate_entities/9011
Adelia Cheever House (University of Michigan),/agents/corporate_entities/9012
Humane Society of Huron Valley.,/agents/corporate_entities/9013
League of Women Voters of Northwest Wayne County.,/agents/corporate_entities/9014
University of Michigan. Dept. of Greek.,/agents/corporate_entities/9015
Ann Arbor Women Painters.,/agents/corporate_entities/9016
Mr. Curt (Musical group),/agents/corporate_entities/9017
United States. Civil Aeronautics Administration.,/agents/corporate_entities/9018
Blodgett Company.,/agents/corporate_entities/9019
Methodist Episcopal Church,/agents/corporate_entities/9020
Republican Party (Mich.),/agents/corporate_entities/9021
Lane Hall (University of Michigan),/agents/corporate_entities/9022
MC5 (Musical group),/agents/corporate_entities/9023
"Metropolitan Christian Church (Ann Arbor, Mich.)",/agents/corporate_entities/9024
University of Michigan. Alumnae Club of Ann Arbor. Lucille B. Conger Alumnae Group.,/agents/corporate_entities/9025
Methodist Church (U.S.),/agents/corporate_entities/9026
Beta Theta Pi. Lambda Chapter (University of Michigan),/agents/corporate_entities/9027
"Immanuel United Church of Christ (Detroit, Mich.)",/agents/corporate_entities/9028
American Historical Association.,/agents/corporate_entities/9029
Democratic Party (U.S.). Commission on Rules.,/agents/corporate_entities/9030
States' Rights Democratic Party.,/agents/corporate_entities/9031
Schoolcraft Iron Company.,/agents/corporate_entities/9032
"Gordon College (Rawalpindi, Pakistan)",/agents/corporate_entities/9033
Michigan Pride (Organization),/agents/corporate_entities/9034
University of Michigan. Program in Comparative Study of Social Transformations.,/agents/corporate_entities/9035
Lake Michigan Region Planning Council.,/agents/corporate_entities/9036
Wilson Ornithological Society.,/agents/corporate_entities/9037
National Governors' Association.,/agents/corporate_entities/9038
University of Michigan. Division of Kinesiology.,/agents/corporate_entities/9039
"United States. Army. Michigan Cavalry Regiment, 9th (1863-1865)",/agents/corporate_entities/9040
"Church of the Good Shepherd (Detroit, Mich.)",/agents/corporate_entities/9041
HKO Media (Firm),/agents/corporate_entities/9042
Youth for Understanding (Organization),/agents/corporate_entities/9043
"Grace Lutheran Church (Lansing, Mich.)",/agents/corporate_entities/9044
University of Michigan. Aeronomy Program.,/agents/corporate_entities/9045
W. K. Kellogg Foundation.,/agents/corporate_entities/9046
Michigan. Office of Veterans Affairs.,/agents/corporate_entities/9047
"Alternative Perspectives on Vietnam (1965 : Ann Arbor, Mich.)",/agents/corporate_entities/9048
"Wilson-Wahr House (Ann Arbor, Mich.)",/agents/corporate_entities/9049
Willow Run Black History Organization.,/agents/corporate_entities/9050
"Trinity Church (Niles, Mich.)",/agents/corporate_entities/9051
University of Michigan Near East Research Expedition (1924-1934),/agents/corporate_entities/9052
Michigan. Board of State Canvassers.,/agents/corporate_entities/9053
International Planned Parenthood Federation.,/agents/corporate_entities/9054
Camp Grayling (Mich.),/agents/corporate_entities/9055
"Rochester Salt and Lumber Company (Saginaw, Mich.)",/agents/corporate_entities/9056
Detroit Metropolitan Area Regional Planning Commission.,/agents/corporate_entities/9057
Michigan Railroad Commission.,/agents/corporate_entities/9058
"Veterans Administration Hospital (Ann Arbor, Mich.)",/agents/corporate_entities/9059
Union Pacific Railroad Company.,/agents/corporate_entities/9060
"Second Baptist Church (Detroit, Mich.)",/agents/corporate_entities/9061
Society for the Promotion of Engineering Education (U.S.),/agents/corporate_entities/9062
Oakland County Community Mental Health Services Board.,/agents/corporate_entities/9063
American Lung Association of Michigan.,/agents/corporate_entities/9064
American Council on Education.,/agents/corporate_entities/9065
National Collegiate Athletic Association.,/agents/corporate_entities/9066
Federal Council of the Churches of Christ in America.,/agents/corporate_entities/9067
Detroit Metro Airport.,/agents/corporate_entities/9068
Citizens Alliance to Uphold Special Education.,/agents/corporate_entities/9069
"Bethany Lutheran Church (Roseville, Mich.)",/agents/corporate_entities/9070
Episcopal Church. Diocese of Michigan.,/agents/corporate_entities/9071
Michigan Air Line Railroad Company.,/agents/corporate_entities/9072
United States. Army Air Forces.,/agents/corporate_entities/9073
University of Michigan. Center for Human Growth and Development.,/agents/corporate_entities/9074
University of Michigan. University Union Relations Advisory Committee.,/agents/corporate_entities/9075
Ella Baker-Nelson Mandela Center for Anti-Racist Education.,/agents/corporate_entities/9076
Lebanese American Heritage Club.,/agents/corporate_entities/9077
Isle Royale Mining Company.,/agents/corporate_entities/9078
Buchenwald (Concentration camp),/agents/corporate_entities/9079
Detroit Medical College.,/agents/corporate_entities/9080
University of Michigan. Dept. of Near Eastern Studies.,/agents/corporate_entities/9081
International Order of the King's Daughters and Sons. University Hospital Circle.,/agents/corporate_entities/9082
"Hartford Memorial Baptist Church (Detroit, Mich.)",/agents/corporate_entities/9083
National Science Foundation (U.S.). Advisory Panel for the National Astronomical Observatory.,/agents/corporate_entities/9084
Couzens Hall (University of Michigan),/agents/corporate_entities/9085
"Stearns Salt and Lumber Company (Ludington, Mich.)",/agents/corporate_entities/9086
American Citizens for Justice.,/agents/corporate_entities/9087
