ORIGINAL,uri
"Conant, Shubael, b. 1783.",/agents/people/9076
"Monteith, Abigail Harris, b. 1801.",/agents/people/9077
"Morgan, Elijah William, b. 1805.",/agents/people/9078
"Thompson, Benjamin, b. 1805.",/agents/people/9079
"Chandler, Thomas, b. 1806.",/agents/people/9080
"Lighthall, Dow L., b. 1809.",/agents/people/9081
"Mills, Stephen, b. 1809.",/agents/people/9082
"Price, Lyman B., b. 1811.",/agents/people/9083
"Brown, William Henry, b. 1812.",/agents/people/9084
"Davis, Lorenzo, 1812-",/agents/people/9085
"Tuttle, John J., b. 1812.",/agents/people/9086
"Fletcher, George N., b. 1813.",/agents/people/9087
"Taylor, Charles H., b. 1813.",/agents/people/9088
"Lovell, Louis S., b. 1816.",/agents/people/9089
"Standish, John H., b. 1816.",/agents/people/9090
"Warner, Walter, b. 1816.",/agents/people/9091
"Graves, Benjamin Franklin, b. 1817.",/agents/people/9092
"Hall, Catherine Mullett, b. 1817.",/agents/people/9093
"Slatford, John, b. 1817.",/agents/people/9094
"Parker, Sampson, b. 1818.",/agents/people/9095
"Shaw, Brackley, b. 1818.",/agents/people/9096
"Towne, Amos C., b. 1818.",/agents/people/9097
"Shetterly, Seth K., b. 1820.",/agents/people/9098
"Taylor, Barton S., b. 1820.",/agents/people/9099
"Leach, M. L. (Morgan Lewis), 1821-",/agents/people/9100
"Spalding, William P., b. 1822.",/agents/people/9101
"Geddes, Norman, b. 1823.",/agents/people/9102
"Slayton, William C., b. 1823.",/agents/people/9103
"McMath, John Watson, b. 1824.",/agents/people/9104
"Mercer, William, b. 1824.",/agents/people/9105
"Bancroft, William L., b. 1825.",/agents/people/9106
"Webber, George W., b. 1825.",/agents/people/9107
"Woodman, Jonathan J., b. 1825.",/agents/people/9108
"Abbott, Sidney D., b. 1826.",/agents/people/9109
"Cannon, George Henry, b. 1826.",/agents/people/9110
"Winegar, William, b. 1827.",/agents/people/9111
"Jewell, David A., b. 1828.",/agents/people/9112
"Shippen, Rush Rhees, b. 1828.",/agents/people/9113
"White, George W., b. 1828.",/agents/people/9114
"Campbell, William, b.1829.",/agents/people/9115
"Nevins, William S., b. 1829.",/agents/people/9116
"Cannon, Levi H., b. 1830 or 31.",/agents/people/9117
"Miller, Clement F., b. 1830.",/agents/people/9118
"Ortmann, Charles L., b. 1830.",/agents/people/9119
"Slayton, Asa Walker, 1830-",/agents/people/9120
"Swift, Frederick W., 1831-",/agents/people/9121
"Armstrong, Moses Kimball, b. 1832.",/agents/people/9122
