alumID,degree,startyr,endyr,field,type,schoolID
1242,AB,,,,undergraduate,1
143,BS,,,,graduate,2
1073,BL,,,,graduate,2
65,,,,,undergraduate,2
1646,,,,,undergraduate,2
2102,AB,,1920,Ed,undergraduate,2
2236,AB,,,,undergraduate,2
2822,PhB,,,,undergraduate,3
1545,,,,,graduate,87
361,,,,,graduate,4
432,,,,,graduate,4
1531,,,,,graduate,4
1616,,,,,graduate,4
1824,,,,,graduate,4
1673,,,,,graduate,4
1827,,,,,graduate,4
2167,BS,,,,graduate,4
873,A.B.,,,,undergraduate,4
963,,,,,undergraduate,4
1817,AB,,,,undergraduate,4
2147,AB,,1921,,undergraduate,4
2152,BA,,,,undergraduate,4
2898,AB,,,,undergraduate,4
1353,,,,,graduate,4
2787,,,,,graduate,88
120,,,,,graduate,89
1130,,,,,graduate,90
241,AB,,,,undergraduate,5
1276,AB,,,,undergraduate,5
32,,,,,graduate,5
1151,,,,,graduate,5
113,,,,,graduate,5
1,,,,,graduate,287
1976,,,,,graduate,288
925,,,,,graduate,321
239,,,,,graduate,287
876,,,,,graduate,289
1181,,,,,graduate,91
1777,Dr.Osteopa,,,,graduate,91
936,,,,,graduate,287
2935,,,,,graduate,287
626,,,,,graduate,92
729,,,,,graduate,92
2315,,,,,graduate,92
2664,,,,,graduate,92
466,,,,,graduate,93
1245,,,,,graduate,94
2911,,,,,graduate,94
1538,,,,,graduate,95
88,,,,,undergraduate,6
2563,,,,,graduate,96
678,AB,,,,graduate,96
1165,,,,,graduate,96
1549,,,,,graduate,96
2083,,,,,graduate,99
1010,,,,,graduate,99
1121,,,,,graduate,100
2305,,,,,graduate,100
1966,,,,,graduate,100
1966,,,,,graduate,60
946,,,,,graduate,100
1170,,,,,graduate,100
1527,,,,,graduate,100
2918,,,,,graduate,100
992,,,,,graduate,102
230,PhD,,,,graduate,103
783,,,,,graduate,103
1110,Ph.D.,,,,graduate,103
1124,,,,,graduate,103
1185,,,,,graduate,103
1201,,,,,graduate,103
1656,,,,,graduate,103
1804,,,,,graduate,103
1703,,,,,graduate,103
2331,,,,,graduate,103
1766,,,,,graduate,103
1849,,,,,graduate,103
2318,,,,,graduate,103
595,AB,,1914,,undergraduate,7
2981,AB,,1896,,undergraduate,7
1552,,,,,graduate,104
2457,AM,,,,graduate,104
2924,MD,,,,graduate,105
451,,,,,graduate,106
465,,,,,graduate,292
395,Ph.D.,,,,graduate,8
2863,AM,,,,graduate,8
1154,AB,,1901,,undergraduate,8
2164,,,,,graduate,107
1355,MA,,,,graduate,107
2223,,,,,graduate,107
2360,,,,,graduate,107
1724,PhD,,,,graduate,108
2652,,,,,graduate,108
2000,,,,,graduate,322
2960,,,,,graduate,323
2611,,,,,graduate,94
2429,,,,,graduate,94
2767,,,,,graduate,94
2788,,,,,graduate,94
883,,,,,graduate,94
2035,,,,,graduate,94
1027,BS,,,,graduate,296
925,,,,,graduate,324
846,,,,,graduate,60
1017,,,,,graduate,60
1210,,,,,graduate,60
1656,,,,,graduate,60
1738,,,,,graduate,60
1751,,,,,graduate,60
1975,,,,,graduate,60
2434,,,,,graduate,60
2901,,,,,graduate,60
6,,,,,graduate,60
620,,,,,graduate,60
1741,,,,,graduate,60
131,,,,,graduate,60
1050,,,,,graduate,60
1486,,,,,graduate,60
1942,,,,,graduate,60
2132,,,,,graduate,60
2168,PhM,,,,graduate,60
2365,,,,,graduate,60
2487,,,,,graduate,60
2530,,,,,graduate,60
2547,,,,,graduate,60
2612,,,,,graduate,60
2802,,,,,graduate,60
2941,,,,,graduate,60
57,,,,,graduate,325
2189,,,,,graduate,326
1386,BA,,,,graduate,327
659,BA,,,,undergraduate,9
1398,Ph,,1891,,undergraduate,9
2451,BL,,,,undergraduate,9
2371,,,,,graduate,10
793,AB,0,0,,undergraduate,10
74,,,,,graduate,11
140,AM,,,,graduate,11
