alumID,memoryID
942,1
1728,1
2091,1
2315,1
2716,1
1786,2
2221,2
2862,3
185,4
228,4
233,4
420,4
450,4
643,4
664,4
977,4
1143,4
1218,4
1828,4
2062,4
2082,4
2121,4
2257,4
2282,4
2362,4
2421,4
2473,4
109,5
1397,5
1397,5
113,6
160,7
519,8
2815,9
1875,10
415,11
1215,11
1233,11
1875,12
645,14
815,14
201,15
217,15
287,15
389,15
412,15
556,15
703,15
1086,15
1233,15
1310,15
1310,15
1347,15
1349,15
1436,15
1436,15
1834,15
1934,15
2095,15
2277,15
2539,15
2815,25
2526,17
202,18
14,53
786,53
583,19
2760,19
10,20
247,20
622,21
2385,21
65,22
80,22
245,22
287,22
412,22
451,22
556,22
591,22
597,22
616,22
622,22
677,22
705,22
795,22
815,22
1025,22
1044,22
1177,22
1226,22
1595,22
1720,22
1722,22
1786,22
1889,22
1934,22
2078,22
2091,22
2182,22
2221,22
2267,22
2362,22
2383,22
2385,22
2394,22
2479,22
2602,22
2674,22
2716,22
2727,22
2775,22
2799,22
2843,22
2982,22
3037,22
4,22
26,22
37,22
374,22
1397,22
1397,22
10,23
897,24
1042,24
59,25
160,25
225,25
233,25
235,25
263,25
266,25
279,25
345,25
374,25
435,25
562,25
575,25
591,25
801,25
1031,25
1198,25
1337,25
1401,25
1598,25
1712,25
1765,25
2115,25
2120,25
2223,25
2389,25
2526,25
2550,25
2782,25
2799,25
3016,25
1386,25
2560,25
1723,25
228,25
1554,25
1605,25
1882,25
2816,25
287,25
2381,25
2764,25
930,25
786,25
1386,25
1263,25
930,25
1155,26
27,27
58,27
134,27
152,27
161,27
174,27
1042,27
1044,27
1193,27
1265,27
1310,27
1310,27
2357,27
1155,28
583,29
781,30
786,30
510,30
408,1
1386,1
1386,1
1800,1
2560,1
202,31
117,32
27,33
46,33
92,33
176,33
185,33
250,33
1203,33
1278,33
1349,33
1725,33
1873,33
1934,33
2215,33
2473,33
2560,33
2602,33
2641,33
1386,34
1863,34
2002,34
726,377
811,377
2466,377
2479,377
2602,377
1054,377
209,21
261,21
275,21
331,21
350,21
362,21
576,21
583,21
599,21
653,21
789,21
795,21
890,21
925,21
950,21
1067,21
1167,21
1177,21
1256,21
1349,21
1472,21
1503,21
2027,21
2129,21
2164,21
2215,21
2357,21
2393,21
2473,21
2787,21
2924,21
2949,21
2980,21
1243,35
25,36
15,37
859,37
2240,37
1177,38
510,378
355,379
786,380
2557,381
168,378
303,378
446,378
617,378
623,378
650,378
811,378
1039,378
1089,378
1165,378
1470,378
1503,378
1615,378
1736,378
1783,378
1863,378
1887,378
1909,378
2091,378
2215,378
2732,378
2831,378
2851,378
545,378
1805,378
1152,378
491,378
1417,378
795,378
760,378
776,378
942,382
2604,382
547,382
1102,383
2557,383
1337,384
1598,385
309,386
996,386
1098,386
1872,386
2029,386
664,39
1800,39
1979,39
2362,39
2557,40
2557,41
360,387
510,42
2560,42
2560,42
200,43
724,44
2002,44
2233,44
2413,44
2560,44
113,45
41,46
228,46
319,46
413,46
510,46
547,46
576,46
643,46
1008,46
1046,46
1093,46
1113,46
1143,46
1148,46
1172,46
1238,46
1338,46
1403,46
1403,46
1422,46
1490,46
1492,46
1598,46
1742,46
1805,46
2078,46
2082,46
2097,46
2120,46
2123,46
2211,46
2223,46
2257,46
2279,46
2333,46
2354,46
2551,46
2656,46
2816,46
2827,46
2862,46
3039,46
3047,46
766,46
269,45
2095,45
2760,25
46,45
108,48
171,48
202,48
228,48
557,48
2173,48
2862,48
2916,48
622,49
92,50
1421,50
1422,50
1598,50
1909,50
2223,50
2466,50
3047,53
849,51
261,52
269,52
558,54
634,54
830,54
2379,55
795,54
2628,54
2687,54
2603,54
2710,54
1990,54
2379,54
2687,54
50,54
107,54
1360,54
1527,54
1703,54
1720,54
1793,54
1854,54
2145,54
2600,54
2829,54
2851,54
1549,55
1703,58
1854,58
1438,56
1549,56
2329,57
2928,57
317,59
518,59
541,59
1720,59
2705,59
2829,59
573,60
2851,60
899,61
1055,61
1533,61
1748,61
1793,61
1691,59
171,62
1592,63
1337,64
413,65
2466,66
2597,66
2844,66
2764,66
382,66
651,66
897,66
966,66
1061,66
1123,66
1347,66
1470,66
1592,66
1600,66
1702,66
2232,66
1044,66
1728,67
1262,97
412,67
666,67
1025,67
2560,67
2799,67
2282,68
160,69
357,70
1738,71
2002,66
2764,72
397,73
1600,73
1876,73
2252,73
2486,73
2764,73
2799,73
412,73
18,73
1044,73
1277,73
1420,73
2702,74
26,75
606,75
1616,75
309,76
547,76
996,76
1838,76
2062,76
2297,76
2667,76
2935,76
2949,1357
1872,1359
2279,1358
2429,1358
2546,1358
18,1360
175,1361
1892,75
2799,75
1304,92
2297,77
1492,1362
576,1362
1113,1362
1238,1362
2123,1362
1173,1362
413,1362
1873,78
494,79
2282,80
2251,81
357,82
1728,83
2799,83
1876,83
1817,83
1725,83
347,84
2984,85
1322,86
2736,87
496,87
798,87
1277,88
29,89
279,89
1108,89
1504,89
2033,89
2282,89
2578,89
2736,89
2762,89
2850,89
0,89
2844,90
1800,91
2472,1358
2573,1358
2384,1363
1322,1364
1140,1365
350,91
18,93
557,1366
2796,94
2862,95
2282,96
245,1367
494,1368
2655,1369
4,97
18,97
92,97
245,97
250,97
357,97
412,97
651,97
966,97
1420,97
1470,97
1483,97
1592,97
1600,97
1725,97
1728,97
1738,97
1831,97
1852,97
1876,97
2221,97
2241,97
2252,97
2383,97
2435,97
2486,97
2538,97
2630,97
2655,97
2674,97
2697,97
2702,97
2796,97
2862,52
4,98
37,98
47,98
50,98
61,98
65,98
76,98
139,98
156,98
171,98
217,98
263,98
268,98
389,98
392,98
412,98
451,98
519,98
591,98
606,98
613,98
622,98
849,98
897,98
898,98
905,98
925,98
927,98
942,98
1038,98
1044,98
1056,98
1061,98
1085,98
1093,98
1100,98
1123,98
1129,98
1135,98
1143,98
1158,98
1218,98
1226,98
1233,98
1243,98
1266,98
1302,98
1328,98
1335,98
1345,98
1347,98
1362,98
1397,98
1397,98
1410,98
1410,98
1421,98
1436,98
1436,98
1500,98
1503,98
1528,98
1533,98
1556,98
1592,98
1605,98
1613,98
1625,98
1641,98
1684,98
1695,98
1831,98
1846,98
1852,98
1883,98
1934,98
1947,98
2027,98
2070,98
2082,98
2133,98
2140,98
2152,98
2163,98
2182,98
2183,98
2224,98
2249,98
2282,98
2322,98
2343,98
2352,98
2435,98
2480,98
2526,98
2674,98
2727,98
2764,98
2766,98
2775,98
2796,98
2799,98
2801,98
2813,98
2821,98
2827,98
2862,98
2867,98
2886,98
2966,98
2980,98
3037,98
115,98
245,98
224,98
194,98
2291,985
103,100
1046,100
37,101
59,101
412,101
591,101
897,101
898,101
943,101
1086,101
1098,101
1123,101
1152,101
1190,101
1702,101
1831,101
2091,101
2133,101
