alumID,type,addressID
282,business,1
131,birth,2
132,birth,2
539,birth,3
1129,birth,4
1121,business,5
2226,business,6
1,business,7
3027,birth,8
3027,home,9
3027,business,10
41,business,11
40,birth,12
2026,birth,13
1590,birth,14
1373,birth,15
149,birth,16
2332,business,17
2332,birth,18
2332,home,19
654,birth,20
1608,birth,21
1941,birth,22
655,home,22
655,business,22
876,birth,23
545,birth,24
839,birth,25
839,home,25
543,birth,26
538,birth,27
1720,birth,28
6,home,29
2371,birth,30
1056,birth,31
2747,birth,31
2838,birth,32
1751,birth,33
1296,birth,34
1098,birth,35
1807,birth,35
2496,birth,36
2585,birth,37
1446,birth,38
283,birth,38
869,birth,38
1822,birth,38
2793,birth,38
1468,home,39
446,birth,40
243,birth,41
1254,home,42
1338,birth,43
1751,home,44
1751,business,44
1633,birth,45
2103,birth,45
2106,birth,45
2432,birth,45
1622,home,45
85,birth,45
591,birth,45
618,birth,45
1297,birth,45
1071,home,45
2630,birth,46
1466,birth,47
218,birth,47
2553,birth,48
2005,birth,49
737,business,50
1680,birth,51
737,birth,52
1680,business,53
2328,home,54
2328,business,54
1841,home,55
913,business,55
1094,business,55
1799,business,55
1841,business,55
2460,home,56
292,business,56
1349,business,56
1628,business,56
1878,business,56
2985,birth,57
2677,home,57
781,business,57
2571,business,57
2985,home,58
2985,business,58
2333,birth,59
1514,business,60
1296,home,61
2677,business,61
1593,home,62
1593,business,62
1652,business,63
514,birth,62
902,home,63
2048,home,64
865,home,65
865,business,65
1974,birth,66
1001,birth,67
816,birth,68
49,birth,69
2263,birth,70
1527,birth,71
735,business,71
200,birth,72
1019,business,73
2906,birth,74
619,birth,75
2957,birth,76
2462,birth,77
959,birth,78
1017,birth,78
584,birth,78
1550,birth,79
2796,birth,80
2961,business,81
900,business,82
2766,birth,83
2766,home,84
2766,business,84
1539,birth,84
2292,birth,84
1181,birth,85
1067,birth,86
1279,birth,87
1279,home,87
1279,business,87
1039,birth,88
73,birth,89
1612,birth,89
2355,birth,89
510,business,90
839,business,91
762,business,92
208,business,93
31,business,94
2295,home,95
1359,birth,96
1195,business,96
1970,business,96
2467,birth,97
352,birth,98
895,birth,99
2997,birth,100
140,business,101
1257,business,101
1225,home,102
1225,business,102
1485,business,103
2345,birth,104
2295,birth,105
365,birth,105
1771,birth,106
23,business,107
1237,home,107
15,business,108
471,birth,108
1602,birth,109
1424,business,110
257,business,111
1634,business,112
961,birth,113
1361,birth,113
414,birth,113
2370,birth,113
256,business,114
213,birth,115
2428,birth,116
1238,birth,117
