memory,memoryID,seeAlso
Buildings -- Alumni Memorial Hall,1,0
Buildings -- Angell Hall,2,0
Buildings -- Art Gallery,3,0
Buildings -- Barbour Gymnasium,4,0
Buildings -- Betsy Barbour House,5,0
Buildings -- Cat Hole,6,0
Buildings -- Chemical Laboratory,7,0
Buildings -- Chemistry Building,8,0
Buildings -- Dental Building,10,0
Buildings -- Economics Building,11,0
Buildings -- Engineering Arch,14,0
Buildings -- Engineering Building,12,0
Buildings -- Ferry Field,15,0
Buildings -- Graduate Study Room,17,0
Buildings -- Granger Dancing Academy,18,0
Buildings -- Gymnasium,53,0
Buildings -- Harris Hall,19,0
Buildings -- Health Services,20,0
Buildings -- Helen Newberry Residence,21,0
Buildings -- Hill Auditorium,22,0
Buildings -- Law Building,381,0
Buildings -- League House,24,0
Buildings -- Library,25,0
Buildings -- Literary Building,26,0
"Buildings -- Literature, Science, and Arts Building",23,0
Buildings -- Main,382,0
Buildings -- Martha Cook Building,27,739
Buildings -- Mason Hall,28,0
Buildings -- McMillan Hall,29,0
Buildings -- Medical Building,30,0
Buildings -- Michigan Central Railroad Depot,31,0
Buildings -- Michigan Daily,388,0
Buildings -- Michigan League,32,0
Buildings -- Michigan Union,33,0
Buildings -- Museum,34,0
Buildings -- New Library,377,0
Buildings -- Nichols Hall,35,0
Buildings -- North Hall,36,0
Buildings -- Observatory,37,0
Buildings -- Octagonal House,38,0
Buildings -- Old East Wing,379,0
Buildings -- Old Hall,380,0
Buildings -- Old Library,378,0
Buildings -- Old Medical Building,383,0
Buildings -- Old Observatory,384,0
Buildings -- Old Science Buildings,385,0
Buildings -- Old University Hall,386,0
Buildings -- Palmer Field,39,0
Buildings -- Pharmacy Building,40,0
Buildings -- President's House,41,0
Buildings -- Psychology labs,387,0
Buildings -- Science Building,42,0
Buildings -- Star Theater,43,0
Buildings -- Tappan Hall,44,0
Buildings -- University Hall,46,0
Buildings -- University Hospital,45,0
Buildings -- Waterman Gymnasium,48,0
Buildings -- Wesley Hall,49,0
Buildings -- West Hall,50,0
Buildings -- William L. Clements Library,9,0
Buildings -- Yost Field House,51,0
Buildings -- YWCA,52,0
College comparison,54,0
College comparison -- Barnard,55,0
College comparison -- Bryn Mawr,58,0
College comparison -- Smith,59,0
College comparison -- Vassar,60,0
College comparison -- Wellesley,61,0
Events -- current -- &quot;Living Out&quot; Day,63,0
Events -- current -- 1882 comet,64,0
Events -- current -- 1890 Pan American's visit,65,0
Events -- current -- Armistice,66,0
Events -- current -- Cardinal Mercier visit,67,0
Events -- current -- Carrie Nation visit,68,0
Events -- current -- Cyclone - Ypsilanti,69,0
Events -- current -- Diagonal,70,0
Events -- current -- Drastic class decrease/size,71,0
Events -- current -- First Naval unit,72,0
Events -- current -- Flu epidemic,73,0
Events -- current -- French commission,74,0
Events -- current -- General Foch visit,75,0
