nameID,name
1,"Palmer, Alice Freeman, 1855-1902"
2,"Mosher, Eliza Maria, 1846-1928"
3,"Salmon, Lucy Maynard, 1853-1927"
4,"Smith, Sara Browne"
5,"Soule, Annah May, 1859-1905"
6,"Abbott, Inez L."
7,"Adams, Bertha W."
8,"Adams, Joyce"
9,"Adams, Margaret E."
10,"Addams, Jane, 1860-1935"
11,"Alexander, Harriet"
12,"Allen, Frances M."
13,"Wood-Allen, Mary, 1841-1908"
14,"Allen, Maude"
15,"Alvord, Katharine S."
16,"Anderson, Elsie"
17,"Anderson, Rose"
18,"Andrews, Fanny P."
19,"Andrews, Lucy C."
20,"Angell, Sarah Caswell, 1831-1903"
21,"Arnold, Mattie E."
22,"Baird, Georgia R."
23,"Baker, Harriet"
24,"Baker, Mary Josephine"
25,"Banks, Sarah G."
26,"Barber, Alice S."
27,"Barnard, Anna M."
28,"Barnard, Edith"
29,"Barnard, Florence"
30,"Barnes, Mary Sheldon, 1850-1898"
31,"Barney, Bertha C."
32,"Barney, Blanche"
33,"Barrett, Frances"
34,"Bartlett, Abbie L."
35,"Barton, Mary G. F."
36,"Bartshune, Mary"
37,"Bates, Katharine L."
38,"Bates, Octavia Williams"
39,"Baur, Bertha"
41,"Beard, Harriet"
42,"Benedict, Suzan R."
43,"Bennett, Annie"
44,"Bennett, Jessie"
45,"Bigby, Margaret"
46,"Bigelow, Clarissa"
47,"Begelow, Harriet"
48,"Bishop, Frances L."
49,"Bishop, Harriet H."
50,"Blackman, Elma"
51,"Blackwell, Emily, 1826-1910"
52,"Blackwell, Elizabeth, 1821-1910"
53,"Blanchard, Irene M."
54,"Block, Mary"
55,"Bounton, (Mrs.) John"
56,"Bower, Emma"
57,"Brady, Lena"
58,"Braley, Esther"
59,"Brandebury, Helen"
60,"Breed, Gertrude T."
61,"Broadbridge, L[otta B.?]"
62,"Brown, Alice"
63,"Brown, Antoinette"
64,"Brown, Dorothy"
65,"Brown, Fannie B."
66,"Brown, Florence"
67,"Brown, Hearty"
68,"Brown, Katharine Holland, d. 1931"
69,"Brown, Nellie"
70,"Brown-Beadle, Helen"
71,"Bruce, Hortense V."
72,"Buck, Gertrude, 1871-1922"
73,"Buckley, Sara C."
74,"Byrd, Mary E. (Mary Emma), b.1849"
75,"Cady, Myra Post"
76,"Calder, Marguerite"
