school,schoolID
Adelbert College,1
"Adrian College (Adrian, Mich.)",2
Akron City University,3
Albion College,4
Alfred University,88
"Allegheny College (Meadville, Pa.)",89
Alliance fran&ccedil;aise,90
Alma College,5
American Academy in Rome,288
American Academy of Dramatic Arts,289
"American Conservatory of Music (Chicago, Ill.)",321
American School of Classical Studies in Rome,287
American School of Osteopathy,91
Antioch College,92
Armour Institute of Technology,93
Art Academy of Cincinnati,325
Art Institute of Chicago,94
"Art Students League (New York, N.Y.)",95
Baldwin Wallace College,6
Barnard College,96
Battle Creek School of Nursing,97
Boston School of Music,99
Boston University,100
Brown University,102
Bryn Mawr College,103
Bucknell University,7
Butler College,104
California Medical College,105
Cambridge School,106
"Carleton College (Northfield, Minn.)",8
Carnegie Institute of Technology,107
Catholic University of America,108
Central Michigan University,322
Central Theological Seminary of the Reformed Church in the U.S.,323
Chicago Musical College,324
Cincinnati Conservatory of Music,328
"Clark University (Worcester, Mass.)",326
College of William and Mary,327
College of Wooster,9
Colorado College,10
Columbia University,11
Cornell University,12
Dennison University,13
DePauw University,14
Des Moines College,15
Doane College,329
Downer College,330
Drew Theological Seminary,331
Drexel Institute of Technology,332
Earlham College,17
Elmira College,138
Farrand Nursing School,139
Franklin College,140
Friedrich-Wilhelms-Universit&auml;t Berlin (University of Berlin),291
Garrett Biblical Institute,293
George Washington University,141
Goucher College,143
Granville Female College,18
Greenville College,19
Grinnell College,20
Hahnemann Medical College and Hospital of Chicago,151
Hartford Theological Seminary,146
Harvard University,147
Heidelburg University,318
Hillsdale College,21
Hinshaw Conservatory,150
Hiram College,22
Hope College,23
Hopkins Art Institute,152
Illinois State Normal ,153
Illinois Wesleyan University,79
Indiana Normal College,24
Indiana University,67
Iona State Teachers College,25
Iowa College,303
Iowa State Teachers College,156
Iowa State University,155
Johns Hopkins University,157
Kalamazoo College,27
Kalamazoo Normal ,158
Kalamazoo School of Occupational Therapy,159
Kansas State Normal,161
Kansas State University,160
"Kee Mar College (Hagarstown, Md.)",333
Kent State University,295
Lake Erie College,28
Lake Forest College,29
Lakeside Nurses Training,164
Lawrence Scientific,311
Lebanon University,312
Leland Stanford University,313
Lenox College,165
Lewis Institute,296
Littleford Business School,166
Loyola University of Chicago,167
"Marshall College (Marshall, Mich.)",169
Martha Washington College,170
Martha Washington Seminary,314
Maryville College,30
Massachusetts Institute of Technology,298
Meadville Theological School,171
Medical College of Ohio,172
"Miami University (Oxford, Ohio)",31
Michigan Agricultural College,32
Michigan Seminary (Kalamazoo),173
Michigan State Normal College,34
Michigan State University,33
Middleburg College,297
Middlebury College,35
Military School of Surgeons and Physiotherapy,174
"Morningside College (Sioux City, Iowa)",334
Mount Holyoke College,36
Mount Holyoke Female Seminary,37
Mt. Carroll Seminary,176
New England Conservatory of Music,177
New Jersey Law School,178
New York City Psychiatric Institute,179
New York University,189
North Carolina College of  Women,335
"Northwestern University (Evanston, Ill.)",38
Nurses Training School,193
Oberlin College,40
Oberlin Conservatory,195
Ohio Northern University,196
Ohio State University,41
Ohio University,259
Ohio Wesleyan University,42
Olivet College,43
Oxford Women's College,198
Pacific University,44
Panepistemio Athenon (University of Athens),290
"Parsons School of Design, New School University",45
Peabody College,336
Pennsylvania College,199
Philadelphia Polyclinic,338
Philadelphia School of Art,337
Philadelphia School of Industrial Art,339
Philadelphia Womens Medical College,340
Philipps Universit&auml;t Marburg,306
Pratt Institute,205
Purdue University,46
