Name,Description,Image,URL
Jonas D. Richardson papers,No description available.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Lost_or_Unknown.svg/199px-Lost_or_Unknown.svg.png,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=313
"Alford, George W.","George W. Alford, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/alford.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=5
"Badgeley, Jay","Orlando B. Willcox, from Byron M. Cutcheon, Story of the Twentieth Michigan Infantry. Lansing, Mich.: Robert Smith Print. Co., 1904.",http://bentley.umich.edu/legacy-support/civilwar/images/willcox.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=439
"Bailey, Franklin H.","Franklin H. Bailey, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/baileyf.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=15
"Bailey, Ira K.","Ira K. Bailey, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/baileyi.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=16
"Baker, Luther Byron",No description available.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Lost_or_Unknown.svg/199px-Lost_or_Unknown.svg.png,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=20
"Baker, L. C.","Lorenzo A. Barker, from Barker, Lorenzo A. Military history (Michigan Boys) Company D 66th Illinois. Reed City, 1905",http://bentley.umich.edu/legacy-support/civilwar/images/barker.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=26
"Barker, Lorenzo A.","Lorenzo A. Barker, from Barker, Lorenzo A. Military history (Michigan Boys) Company D 66th Illinois. Reed City, 1905",http://bentley.umich.edu/legacy-support/civilwar/images/barker.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=26
"Bascom, Henry H.","Harrison Soule, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/soule.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=347
"Belcher, Horatio","William M. Fenton, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/fenton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=240
"Belfield, Henry H.","Henry H. Belfield, from Helen Van Tyne papers",http://bentley.umich.edu/legacy-support/civilwar/images/belfield.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=409
"Blake, J.","Harrison Soule, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/soule.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=347
"Boston, William","William Boston, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/boston.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=47
"Boughton, John C.","John C. Boughton, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/boughton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=48
"Brigden, Wharton W.","Wharton W. Brigden (center) with other clerks in the paymaster's office, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/brigden.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=54
"Buell, Sidney D.","Sidney D. Buell, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/buell.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=60
"Butterworth, Ebenezer","Ebenezer Butterworth, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/butterw.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=65
"Carlisle, Daniel","Daniel and Hannah L. Carlisle, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/carlisle.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=460
"Carlisle, Hannah M.","Daniel and Hannah L. Carlisle, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/carlisle.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=460
"Carlisle, Joseph L.","Joseph L. Carlisle, from Charles Woodruff papers",http://bentley.umich.edu/legacy-support/civilwar/images/carlislj.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=373
"Chandler, Zachariah","Zachariah Chandler, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/chandler.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=461
"Chase, Frank R.","Frank R. Chase, from Charles Woodruff papers",http://bentley.umich.edu/legacy-support/civilwar/images/chasef.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=338
"Chase, Milton","Milton Chase, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/chase.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=75
"Christiancy, Henry Clay","Henry Clay Christiancy, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/christ.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=77
"Coffinberry, Wright L.","Wright L. Coffinberry, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/coffin.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=82
"Compton, Silas H.","Silas H. Compton, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/compton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=84
"Comte, Victor E.","Victor E. Comte, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/comte.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=86
"Congor, E. J.",No description available.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Lost_or_Unknown.svg/199px-Lost_or_Unknown.svg.png,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=20
"Corden, John","John Corden, from Milton Chase papers",http://bentley.umich.edu/legacy-support/civilwar/images/corden.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=93
"Crapo, Henry Howland","Henry Howland Crapo, from Samuel Sartain collection",http://bentley.umich.edu/legacy-support/civilwar/images/crapo.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=468
"Crittenden, Thomas L.","John Gibson Parkhurst, from Charles W. Bennett, Historical Sketches of the Ninth Michigan Infantry. Coldwater, Mich., 1913.",http://bentley.umich.edu/legacy-support/civilwar/images/parkhurs.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=279
"Custer, George Armstrong","George A. Custer, Library of Congress, Prints and Photographs Division [LC-B8172-1613]",http://bentley.umich.edu/legacy-support/civilwar/images/custer.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=100
"Cutcheon, Byron Mac","Byron M. Cutcheon, from Byron M. Cutcheon,  The Story of the Twentieth Michigan Infantry. Lansing, 1904",http://bentley.umich.edu/legacy-support/civilwar/images/cutcheon.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=101
"DeLand, James S.","James S. DeLand, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/deland.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=108
"Demarest, Samuel L.","Frank R. Chase, from Charles Woodruff papers",http://bentley.umich.edu/legacy-support/civilwar/images/chasef.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=338
"Edmonds, Sarah Emma","Sarah Emma Edmonds, from her  Nurse and Spy in the Union Army.  Hartford, Conn., 1865.",http://bentley.umich.edu/legacy-support/civilwar/images/edmonds.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=315
"Elder, John A.","John A. Elder, from Wells B. Fox, What I Remember of the Great Rebellion. Lansing, Mich., 1892.",http://bentley.umich.edu/legacy-support/civilwar/images/elder.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=243
"Ely, Ralph","William M. Fenton, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/fenton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=240
"Fenton, William M.","William M. Fenton, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/fenton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=240
"Fox, Perrin V.","Perrin V. Fox, from Charles R. Sligh, History of the Services of the First Regiment Michigan Engineers and Mechanics. Grand Rapids, 1921",http://bentley.umich.edu/legacy-support/civilwar/images/fox.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=136
"French, George W.","George W. French, from Trowbridge, L. S. Brief History of the Tenth Michigan Cavalry. Detroit, 1905",http://bentley.umich.edu/legacy-support/civilwar/images/french.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=138
"Garfield, James A.","James A. Garfield, Library of Congress, Prints and Photographs Division [LC-B8172-2218]",http://bentley.umich.edu/legacy-support/civilwar/images/garfield.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=13
"Goodrich, Fred Stanley","Fred S. Goodrich, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/goodrich.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=146
"Grant, Claudius Buchanan","Claudius B. Grant from Byron M. Cutcheon, The Story of the Twentieth Michigan Infantry. Lansing, Mich. 1904",http://bentley.umich.edu/legacy-support/civilwar/images/grant.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=147
"Graveraet, Garrett A.","Garrett A. Graveraet, from the Emerson R. Smith papers",http://bentley.umich.edu/legacy-support/civilwar/images/graveraet.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=341
"Green, Sullivan Dexter","""The jolly looking fellow on the right is me"" -- Sullivan D. Green, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/green.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=149
"Greene, William M.","William M. Greene from Byron M. Cutcheon, The Story of the Twentieth Michigan Infantry. Lansing, Mich., 1904",http://bentley.umich.edu/legacy-support/civilwar/images/greene.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=150
"Griffin, Eli Augustus",Eli A. Griffin from Milton Chase papers,http://bentley.umich.edu/legacy-support/civilwar/images/griffin.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=151
"Guthrie, James W.","James W. Guthrie, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/guthrie.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=157
"Hall, Morris Stuart","Morris S. Hall, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/hall.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=161
