IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
2014092_0002_0001,"Visual Materials - Stan and Iris, 1922-2005",Photographs of Stanford and Iris Ovshinsky compiled for a book to be published by a professor at the University of Notre Dame. Includes images of the two from their childhoods through their professional and personal lives into the 21st century.,"Ovshinsky, Stanford R.",,2015,2015,1922-2005,OvshinskyPhotographsforNotreDameBook.zip,"Visual Materials - Stan and Iris, ",Image,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0002,"Business Administration - Energy Conversion Devices - Product literature, 2004-2005","Papers and brochures related to products of the Ovonic Fuel Cell Company, LLC.","Ovshinsky, Stanford R.",,2015,2015,2004-2005,OvonicFuelCellAdvertisements.zip,,Office Documents,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0003,"Personal, 2002-2003","Reminiscences, appreciations, and photographs compiled by friends and family of Stanford Ovshinsky in honor of his 80th birthday in 2002.","Ovshinsky, Stanford R.",,2015,2015,2002-2003,80thBirthdayReminiscences.zip,,Image| Office Documents,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0004,"Business Administration - Energy Conversion Devices - Subsidiaries - Uni-Solar, 2002",Photographs from the June 2002 opening of Energy Conversion Devices's Uni-Solar plant.,"Ovshinsky, Stanford R.",,2015,2015,2002,ECDUniSolarOpening.zip,,Image,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0005,"Talks and Recognition - Speeches and Talks, 2004","Photographs from Stanford Ovshinsky's presentation at the Walker Cisler Memorial Lecture on September 21, 2004.","Ovshinsky, Stanford R.",,2015,2015,2004,WalkerCislerLecture.zip,,Image,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0006,"Talks and Recognition - Speeches and Talks, 2005","Audio recording of Stanford Ovshinsky's presentation at the Akron Roundtable in Akron, Ohio on February 17, 2005.","Ovshinsky, Stanford R.",,2015,2015,2005,AkronRoundtable.zip,,Sound Recording,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0007,"Talks and Recognition - Speeches and Talks, 2006","Prerecorded presentation prepared by Stanford Ovshinsky for the Boer Symposium in Germany in 2006. Recorded April 18, 2006.","Ovshinsky, Stanford R.",,2015,2015,2006,Ecd Germany 4 18 06-1.mp4 | Ecd Germany 4 18 06-1.zip,Access video | Preservation video,Video,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0008,"Business Administration - Energy Conversion Devices - Product literature - Hydrogen, 2003",A video containing footage of the test drive of the Ovonic Hydrogen Solid Internal Combustion Engine (ICE) Vehicle and selected interviews with key Energy Conversion Devices personnel. ,"Ovshinsky, Stanford R.",,2015,2015,2003,Ovonics Final2-1.mp4 | Ovonics Final2-1.zip,Access video | Preservation video,Video,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0009,"Talks and Recognition - Speeches and Talks, 2005","A video of the March 30, 2005 NASDAQ Closing Bell Ceremony that spotlighted Energy Conversion Devices. Includes speeches by Stanford Ovshinsky and Robert Stempel.","Ovshinsky, Stanford R.",,2015,2015,2005,ECDClosingBell.mp4 | ECDClosingBell.zip,Access video | Preservation video,Access video | Preservation video,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
2014092_0002_0010,"Business Administration - Energy Conversion Devices - Product literature - Hydrogen, 2002",An October 2002 video status report of the Ovonic Hydrogen Solid Internal Combustion Engine (ICE) Toyota Prius on which Stanford Ovshinsky and his companies were working.,"Ovshinsky, Stanford R.",,2015,2015,2002,Prius - Phase L Video-1.mp4 | Prius - Phase L Video-1.zip,Access video | Preservation video,Access video | Preservation video,This content is open for research.,2015-11-11,Copyright has been transferred to the Regents of the University of Michigan.,en-US
