Handle,Title,IsPartOf,DateIssued,BitstreamUrl,Uri,rights
2027.42/89135,Possible Futures for the Research Library in the 21st Century,,2009,http://deepblue.lib.umich.edu/bitstream/2027.42/89135/1/2009_Library_Futures_J_Lib_Admin.pdf,http://hdl.handle.net/2027.42/89135,
2027.42/89143,Aligning American Higher Education with a Twenty-First Century Public Agenda,,2009,http://deepblue.lib.umich.edu/bitstream/2027.42/89143/1/2009_Aligning_Higher_Ed_in_US.pdf,http://hdl.handle.net/2027.42/89143,
2027.42/89419,The Challenges and Opportunities of the Digital Age for Higher Education - Snowmass,,8/4/1997,http://deepblue.lib.umich.edu/bitstream/2027.42/89419/1/1997_Snowmass_Digital_Age.pdf,http://hdl.handle.net/2027.42/89419,
2027.42/88254,The Future of the Public Research University,,10/7/1996,http://deepblue.lib.umich.edu/bitstream/2027.42/88254/1/1996_Penn_State_Text.pdf,http://hdl.handle.net/2027.42/88254,
2027.42/115479,A Half-Century of Technological Change,,9/9/2013,http://deepblue.lib.umich.edu/bitstream/2027.42/115479/4/2013 Yale Technology Essay JJD_bhl-441c0f5e.pdf; http://deepblue.lib.umich.edu/bitstream/2027.42/115479/1/2013 Yale Technology Essay JJD.pdf,http://hdl.handle.net/2027.42/115479,
2027.42/115477,Are the Liberal Arts Still the Heart of the American Research University? Some Observations from An Engineering Professor...,,5/23/2013,http://deepblue.lib.umich.edu/bitstream/2027.42/115477/4/2013 UM Liberal Arts Conference_bhl-6c71af8a.pdf; http://deepblue.lib.umich.edu/bitstream/2027.42/115477/1/2013 UM Liberal Arts Conference.pdf,http://hdl.handle.net/2027.42/115477,
2027.42/115474,Research Universities and the Future of America: A Study by the National Academies of the United States,,6/5/2013,http://deepblue.lib.umich.edu/bitstream/2027.42/115474/4/2013 Glion Duderstadt RU_bhl-24446e96.pdf; http://deepblue.lib.umich.edu/bitstream/2027.42/115474/1/2013 Glion Duderstadt RU.pdf,http://hdl.handle.net/2027.42/115474,
2027.42/115476,Some (Belated) Observations on the Information Technology Strategic Plan,,7/1/2013,http://deepblue.lib.umich.edu/bitstream/2027.42/115476/4/2013 UM IT Strategic Plan Memo_bhl-988b45b9.pdf; http://deepblue.lib.umich.edu/bitstream/2027.42/115476/1/2013 UM IT Strategic Plan Memo.pdf,http://hdl.handle.net/2027.42/115476,
2027.42/115481,Review of the University of Texas Report on Gas Shale Fracking,,11/26/2012,http://deepblue.lib.umich.edu/bitstream/2027.42/115481/4/2012 U Texas Fracking Report_bhl-c9d976fa.pdf; http://deepblue.lib.umich.edu/bitstream/2027.42/115481/1/2012 U Texas Fracking Report.pdf,http://hdl.handle.net/2027.42/115481,
2027.42/115475,The Impact of Technology on Discovery and Learning in Research Universities,,6/5/2013,http://deepblue.lib.umich.edu/bitstream/2027.42/115475/4/2013 Glion MOOCs JJD_bhl-ae48a40f.pdf; http://deepblue.lib.umich.edu/bitstream/2027.42/115475/1/2013 Glion MOOCs JJD.pdf,http://hdl.handle.net/2027.42/115475,
2027.42/115480,A Framing Paper for Research University Study,,9/20/2013,http://deepblue.lib.umich.edu/bitstream/2027.42/115480/4/2013 Framing Paper for Time Summit_bhl-5a174e57.pdf; http://deepblue.lib.umich.edu/bitstream/2027.42/115480/1/2013 Framing Paper for Time Summit.pdf,http://hdl.handle.net/2027.42/115480,
2027.42/115478,A Challenge to the Yale Class of 1964:  Securing Educational Opportunities for Future Generations,,9/9/2013,http://deepblue.lib.umich.edu/bitstream/2027.42/115478/5/2013 Yale Education Essay JJD_bhl-eaf5d3a0.pdf; http://deepblue.lib.umich.edu/bitstream/2027.42/115478/1/2013 Yale Education Essay JJD.pdf,http://hdl.handle.net/2027.42/115478,
2027.42/88255,The Future of the Public Research University,,3/17/1997,http://deepblue.lib.umich.edu/bitstream/2027.42/88255/1/1997_Iowa_State.pdf,http://hdl.handle.net/2027.42/88255,
2027.42/88257,The Future of the Research University in the Digital Age (1.0),,5/9/2000,http://deepblue.lib.umich.edu/bitstream/2027.42/88257/1/2000_House_Science_Com_Test_1.0.pdf,http://hdl.handle.net/2027.42/88257,
2027.42/88259,The Future of the Research University in the Digital Age,,11/13/2000,http://deepblue.lib.umich.edu/bitstream/2027.42/88259/1/2000_AmPhilSoc_Text_2.1.pdf,http://hdl.handle.net/2027.42/88259,
2027.42/79559,Intercollege Athletics,,1996,http://deepblue.lib.umich.edu/bitstream/2027.42/79559/1/1996_Intercollegiate_Athletics.pdf,http://hdl.handle.net/2027.42/79559,
2027.42/79560,A Proposal to Establish a Center of Scholarly Excellence in Complex Manufacturing Technology,,1985,http://deepblue.lib.umich.edu/bitstream/2027.42/79560/1/1985_A_Proposal_to_Establish_a_Center_of_Scholarly_Excellence_in_Complex_Manufacturing_Technology.pdf,http://hdl.handle.net/2027.42/79560,
2027.42/79561,Some Reflections on the Future of the American Academic Research Enterprise,,1992,http://deepblue.lib.umich.edu/bitstream/2027.42/79561/1/1992_Some_Reflections_on_the_Future_of_the_American_Academic_Research_Enterprise.pdf,http://hdl.handle.net/2027.42/79561,
2027.42/79562,"The Cost Price, and Value of a College Education",,1996,http://deepblue.lib.umich.edu/bitstream/2027.42/79562/1/1996_The_Cost_Price_and_Value_of_a_College_Education.pdf,http://hdl.handle.net/2027.42/79562,
2027.42/79563,Rebuilding The University of Michigan,,1996,http://deepblue.lib.umich.edu/bitstream/2027.42/79563/1/1996_Rebuilding_The_University_of_Michigan.pdf,http://hdl.handle.net/2027.42/79563,
2027.42/79564,State of the UM: College of Engineering,,1985,http://deepblue.lib.umich.edu/bitstream/2027.42/79564/1/1985_State_of_the_UM_College_of_Engineering.pdf,http://hdl.handle.net/2027.42/79564,
