dates	handle	title	authors	publisher	dateAdded	bitCount
2006/04-2015/10	2027.42/88530	1987 Graduate Education 	Duderstadt, James J. 		2011-12-23T16:42:24Z 	1
2006/04-2015/10	2027.42/88641	1988 Introduction to MLK Event 	Duderstadt, James J. 		2011-12-23T16:45:20Z 	1
2006/04-2015/10	2027.42/88753	1996 University of Michigan Milestones 	Duderstadt, James J. 		2011-12-23T16:48:08Z 	1
2006/04-2015/10	2027.42/88864	21st Century Engineering 	Duderstadt, James J. 		2011-12-23T16:51:07Z 	1
2006/04-2015/10	2027.42/88975	21st Century Engineering 	Duderstadt, James J. 		2011-12-23T16:53:56Z 	1
2006/04-2015/10	2027.42/89087	21st Century Engineering: A Roadmap to the Future 	Duderstadt, James J. 		2011-12-23T16:57:07Z 	1
2006/04-2015/10	2027.42/89198	A 21st Century Learn-Grant Act for a Society of Learning 	Duderstadt, James J. 		2011-12-23T16:59:52Z 	1
2006/04-2015/10	2027.42/89309	A Case Study in University Transformation, Positioning the University of Michigan for the New Millennium 	Duderstadt, James J. 		2011-12-23T17:02:28Z 	1
2006/04-2015/10	2027.42/88217	A Case Study: France 	Duderstadt, James J. 		2011-12-23T16:34:48Z 	1
2006/04-2015/10	2027.42/115478	A Challenge to the Yale Class of 1964:  Securing Educational Opportunities for Future Generations 	Duderstadt, James J. 		2015-10-20T13:58:10Z 	1
2006/04-2015/10	2027.42/88439	A China Odyssey 	Duderstadt, James J. 		2011-12-23T16:40:17Z 	1
2006/04-2015/10	2027.42/88453	A Comparison of Projection operator formalisms for the study of self-diffusion 	Mosteller, R.D. ; Duderstadt, James J. 		2011-12-23T16:40:36Z 	1
2006/04-2015/10	2027.42/88464	A Federal-State Compact to Review the Great Lakes Region 	Austin, John ; Affolter-Caine, Britany 	The Vital Center, The Brookings Institution 	2011-12-23T16:40:50Z 	1
2006/04-2015/10	2027.42/115480	A Framing Paper for Research University Study 	Duderstadt, James J. 		2015-10-20T14:01:27Z 	1
2006/04-2015/10	2027.42/88475	A Free Lunch for the North Campus Deans 	Duderstadt, James J. 		2011-12-23T16:41:05Z 	1
2006/04-2015/10	2027.42/79497	A Growing Season: A Report from the President 	Office of the President, University of Michigan 		2011-02-04T19:02:09Z 	1
2006/04-2015/10	2027.42/115479	A Half-Century of Technological Change 	Duderstadt, James J. 		2015-10-20T14:00:22Z 	1
2006/04-2015/10	2027.42/88486	A Master Plan for Higher Education in the Midwest 	Duderstadt, James J. 		2011-12-23T16:41:21Z 	1
2006/04-2015/10	2027.42/79512	A Michigan Education - Presidential Societies Weekend 	Duderstadt, James J. 		2011-02-04T19:03:11Z 	1
2006/04-2015/10	2027.42/79534	A Mission for the 21st Century: Building Leadership for Tomorrow on a Foundation of Academic Excellence 	Office of the President, University of Michigan 		2011-02-04T19:04:45Z 	1
2006/04-2015/10	2027.42/88497	A NAS-NAE-IOE GUIRR Study 	Duderstadt, James J. 		2011-12-23T16:41:36Z 	1
2006/04-2015/10	2027.42/88508	A National Energy Research Network - A Step Toward America's Sustainability 	Duderstadt, James J. 		2011-12-23T16:41:52Z 	1
2006/04-2015/10	2027.42/88519	A New Program in Science, Technology, and Public Policy 	Duderstadt, James J. 		2011-12-23T16:42:08Z 	1
2006/04-2015/10	2027.42/88531	A New Program in Science, Technology, and Public Policy 	Duderstadt, James J. 		2011-12-23T16:42:25Z 	1
2006/04-2015/10	2027.42/88542	A Photographic History of UM Engineering 	Duderstadt, Anne M. 		2011-12-23T16:42:43Z 	1
2006/04-2015/10	2027.42/88553	A Pre-Proposal - Summer Faculty Careers Institute for Ph.D. students, Postdoctoral Fellows, and Junior Faculty 	Cook, Constance E. ; Goldenberg, Edie N. ; Duderstadt, James J. 		2011-12-23T16:42:59Z 	1
2006/04-2015/10	2027.42/88564	A Pre-Proposal - Summer Faculty Careers Institute for Ph.D. students, Postdoctoral Fellows, and Junior Faculty 	Goldenberg, Edie N. ; Cook, Constance E. ; Duderstadt, James J. 		2011-12-23T16:43:15Z 	1
2006/04-2015/10	2027.42/88575	A Pre-proposal for a Planning Grant 	Duderstadt, James J. 		2011-12-23T16:43:32Z 	1
2006/04-2015/10	2027.42/88586	A Project of Possible Interest to NSF 	Duderstadt, James J. 		2011-12-23T16:43:45Z 	1
2006/04-2015/10	2027.42/88597	A Proposal for Establishing The Phoenix Memorial Energy Institute of the University of Michigan 	Duderstadt, James J. 		2011-12-23T16:44:02Z 	1
2006/04-2015/10	2027.42/88608	A Proposal for Establishing The Phoenix Memorial Energy Institute of the University of Michigan (Poster) 	Duderstadt, James J. 	Michigan Energy Research Council 	2011-12-23T16:44:17Z 	1
2006/04-2015/10	2027.42/88619	A Proposal to Assess the Capacity of the U.S. Engineering Research Enterprised to Meet the Future Needs of the Nation 	Duderstadt, James J. 	National Academy of Engineering 	2011-12-23T16:44:34Z 	1
2006/04-2015/10	2027.42/79498	A Proposal to Establish a Center of Scholarly Excellence in Advanced Electronics and Optics Technology 	College of Engineering, University of Michigan 		2011-02-04T19:02:13Z 	1
2006/04-2015/10	2027.42/79560	A Proposal to Establish a Center of Scholarly Excellence in Complex Manufacturing Technology 	College of Engineering, University of Michigan 		2011-02-04T19:06:35Z 	1
2006/04-2015/10	2027.42/79491	A Proposal to Establish a Center of Scholarly Excellence in Machine Intelligence Technology 	College of Engineering, University of Michigan 		2011-02-04T19:01:43Z 	1
2006/04-2015/10	2027.42/88630	A Proposal to Establish a Michigan Higher Education Policy Institute 	Duderstadt, James J. 		2011-12-23T16:44:58Z 	1
2006/04-2015/10	2027.42/79527	A Proposal to Support the Computer-Aided Engineering Network 	College of Engineering, University of Michigan 		2011-02-04T19:04:15Z 	1
2006/04-2015/10	2027.42/88643	A Proposal to the NSF for a Small Grant for Exploratory Research (SGER) to Develop a Undergraduate Minor Concentration in Nuclear Fission Power Engineering 	Duderstadt, James J. 		2011-12-23T16:45:21Z 	1
2006/04-2015/10	2027.42/88676	A Proposed Study of the Changing Nature of the American Research University Ecosystem 	Duderstadt, James J. 		2011-12-23T16:46:14Z 	1
2006/04-2015/10	2027.42/88654	A Proposed Study of the Changing Nature of the American Research University Ecosystem (1) 	Duderstadt, James J. 		2011-12-23T16:45:41Z 	1
2006/04-2015/10	2027.42/88665	A Proposed Study of the Changing Nature of the American Research University Ecosystem (2) 	Duderstadt, James J. 		2011-12-23T16:45:56Z 	1
2006/04-2015/10	2027.42/79495	A Report from the President 	Office of the President, University of Michigan 		2011-02-04T19:02:00Z 	1
2006/04-2015/10	2027.42/88687	A Roadmap to 21st Century Engineering 	Duderstadt, James J. 		2011-12-23T16:46:29Z 	1
2006/04-2015/10	2027.42/88698	A Roadmap to Michigan's Future 	Duderstadt, James J. 		2011-12-23T16:46:44Z 	1
2006/04-2015/10	2027.42/88731	A Roadmap to Michigan's Future 	Duderstadt, James J. 		2011-12-23T16:47:38Z 	1
2006/04-2015/10	2027.42/88709	A Roadmap to Michigan's Future (2) 	Duderstadt, James J. 		2011-12-23T16:47:04Z 	1
2006/04-2015/10	2027.42/88720	A Roadmap to Michigan's Future (Presentation) 	Duderstadt, James J. 		2011-12-23T16:47:20Z 	1
2006/04-2015/10	2027.42/88742	A Roadmap to Michigan's Future: Meeting the Challenge of a Global Knowledge-Driven Economy 	Duderstadt, James J. 		2011-12-23T16:47:55Z 	1
2006/04-2015/10	2027.42/88776	A Society of Learning: A Vision for the Future of the University in the New Millennium (1.2) 	Duderstadt, James J. 		2011-12-23T16:48:47Z 	1
2006/04-2015/10	2027.42/88754	A Society of Learning: A Vision for the Future of the University in the New Millennium (1.3) 	Duderstadt, James J. 		2011-12-23T16:48:09Z 	1
