IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,RELATIVE_PATH,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0001,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - AAU Welcome",,"Duderstadt, James J.",,10/22/1989 0:00,2015,10/22/1989 0:00,\9811_0001\data\original-records\1989-1990 Speeches\AAU Welcome | \9811_0001\data\Speeches\JJDS4a\jjd961.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0002,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Addins-1990",,"Duderstadt, James J.",,4/6/1990 0:00,2015,4/6/1990 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Addins-1990 | \9811_0001\data\Speeches\JJDS4b\jjd962.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0003,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Aerospace Dedication",,"Duderstadt, James J.",,11/3/1989 0:00,2015,11/3/1989 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Aerospace Dedication | \9811_0001\data\Speeches\JJDS4a\jjd963.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0004,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Aerospace Dedication_",,"Duderstadt, James J.",,11/3/1989 0:00,2015,11/3/1989 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Aerospace Dedication_ | \9811_0001\data\Speeches\JJDS4a\jjd963.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0005,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Alumni 5.0",,"Duderstadt, James J.",,9/11/1989 0:00,2015,9/11/1989 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Alumni 5.0 | \9811_0001\data\Speeches\JJDS4a\jjd968.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0007,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Alumni Volunteers",,"Duderstadt, James J.",,9/26/1989 0:00,2015,9/26/1989 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Alumni Volunteers | \9811_0001\data\Speeches\JJDS4a\jjd966.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0008,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Alumni Volunteers 2.0",,"Duderstadt, James J.",,9/26/1989 0:00,2015,9/26/1989 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Alumni Volunteers 2.0 | \9811_0001\data\Speeches\JJDS4a\jjd967.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0009,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - American Education_",,"Duderstadt, James J.",,12/14/1989 0:00,2015,12/14/1989 0:00,\9811_0001\data\original-records\1989-1990 Speeches\American Education_ | \9811_0001\data\Speeches\JJDS4a\jjd969.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0010,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Appro Comm Test 1.1",,"Duderstadt, James J.",,3/10/1991 0:00,2015,3/10/1991 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Appro Comm Test 1.1 | \9811_0001\data\Speeches\JJDS5b\jjd1103.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0011,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Appro Comm Test 1.1_",,"Duderstadt, James J.",,3/10/1991 0:00,2015,3/10/1991 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Appro Comm Test 1.1_ | \9811_0001\data\Speeches\JJDS5b\jjd1103.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0012,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Athletes Reception",,"Duderstadt, James J.",,4/13/1990 0:00,2015,4/13/1990 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Athletes Reception | \9811_0001\data\Speeches\JJDS4b\jjd972.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0015,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Basketball Bust-90",,"Duderstadt, James J.",,4/9/1990 0:00,2015,4/9/1990 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Basketball Bust-90 | \9811_0001\data\Speeches\JJDS4b\jjd975.pdf,Original version: Original format not identified | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0016,"Digital Documents - University of Michigan Presidency, 1986-1997 - Speeches - 1989-1990 Speeches - Bo",,"Duderstadt, James J.",,12/13/1989 0:00,2015,12/13/1989 0:00,\9811_0001\data\original-records\1989-1990 Speeches\Bo | \9811_0001\data\Speeches\JJDS4a\jjd976.pdf,Original version: Microsoft Word for Macintosh Document | Preservation version,Office Documents,Collection is open for research.,12/17/2015,Copyright has been transferred to the Regents of the University of Michigan.,en
