"2015-11-25T13:46:05; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd12.doc""; Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd12_bhl-fae1774e.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:07; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd2.doc""; Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd2_bhl-a5090874.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:08; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd7.doc""; Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd7_bhl-69f1d758.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:10; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd589.xls""; Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd589_bhl-e44818bd.xlsx; Microsoft Office File Converter; "
"2015-11-25T13:46:11; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\S5restricted\jjd1219.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\S5restricted\jjd1219_bhl-4dc8988d.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:13; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS7\S7restricted\jjd1361.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS7\S7restricted\jjd1361_bhl-03f8ee0a.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:14; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1426.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1426_bhl-4deee62b.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:15; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1430.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1430_bhl-ea5cd80e.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:16; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1433.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1433_bhl-df999146.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:18; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1437.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1437_bhl-7a1c5c38.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:19; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1441.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1441_bhl-7a4d6f83.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:20; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1450.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1450_bhl-cf0c8b98.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:22; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1451.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1451_bhl-57af4800.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:23; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1463.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1463_bhl-bf36ae7f.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:24; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1465.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1465_bhl-f008a3c7.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:26; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1467.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1467_bhl-91fd520c.docx; Microsoft Office File Converter; "
