IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0003_0001,Media U Intro,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd10.txt,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0002,State of the U,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd11.txt,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0004,Strategic Plan text,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd12.pdf | Legacy-JJDLE1-jjd12_bhl-51fc5789.pdf,Access version | Preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0005,Strategy appendx 1,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd13.txt,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0006,Strategy appndx 2,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd14.txt,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0007,Strategy appndx 3,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd15.txt,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0008,Strategy appndx 4,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd16.txt,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0009,sun/agenda list 1,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd18.txt,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0010,sun/agenda list 2,,"Duderstadt, James J.",,2015,8/1/1996,,Legacy-JJDLE1-jjd19.txt,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0012,Athletics Monograph,,"Duderstadt, James J.",,2015,7/30/1996,,Legacy-JJDLE1-jjd2.pdf | Legacy-JJDLE1-jjd2_bhl-70ded425.pdf,Access version | Preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
