Filename,XPath,Suspicious Number,Context
aaartass.xml,/ead/archdesc/dsc/c01[2]/c02[1]/did/unittitle, 1909-1934,"Paper by Emil Lorch entitled, ""The Ann Arbor Art Association Exhibits and Lectures 1909-1934; notes on the establishment of lecture course in the History of Art and on art instruction University of Michigan"""
aaartass.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[23]/did/unittitle, 1909-1959,"Publication: <title render=""italic"">The Ann Arbor Art Association 1909-1959 a survey of fifty years</title>,"
aachartr.xml,/ead/archdesc/did/unittitle, 1953-1955,"<unittitle encodinganalog=""245"">Ann Arbor Charter Commission (Ann Arbor, Mich. : 1953-1955) records"
aalborg.xml,/ead/archdesc/dsc/c01/c02[13]/did/unittitle, 1873-1879,"J. U. Heiberg (pastor who served in Chicago, 1873-1879, then returned to Denmark where he was an influential member of the Church board concerned with the church in America)"
aaplcom.xml,/ead/archdesc/dsc/c01[2]/c02[24]/c03/did/unittitle, 1988-1994,"<title render=""italic"">Ann Arbor's plan for parks, recreation and open space, 1988-1994</title>"
aaplcons.xml,/ead/archdesc/dsc/c01/c02[3]/c03/did/unittitle, 1974-1975,"<title render=""italic"">Ann Arbor circulation study: prepared for city of Ann Arbor, Michigan, 1974-1975</title>,"
aaplcons.xml,/ead/archdesc/dsc/c01/c02[67]/c03/did/unittitle, 1960-1970,"<title render=""italic"">A Report on population and housing based on the 1960-1970-1980 federal census: Ann Arbor, Michigan: prepared for Arbor Main Place proposed development</title>,"
aapsch.xml,/ead/archdesc/dsc/c01[5]/c02[4]/c03[1]/c04[8]/did/unittitle, 1973-1974,"Master Agreements with Ann Arbor Education Association, 1973-19741974-1975"
aayuats.xml,/ead/archdesc/dsc/c01[2]/c02[11]/c03[1]/did/unittitle, 1983-1984,"<title render=""italic"">Transportation profile, 1983-1984</title>"
acadwc.xml,/ead/archdesc/dsc/c01[2]/c02[1]/did/unittitle, 1987-1989,Academic Women's Caucus / Sarah Goddard Power Awards (see also photographs for 1987-1989)
acadwc.xml,/ead/archdesc/dsc/c01[8]/c02[4]/did/unittitle, 1975-2000,"<title render=""italic"">Striving Toward Equity at the University of Michigan: 25 Years of the Academic Women's Caucus, 1975-2000</title>"
actonh.xml,/ead/archdesc/dsc/c01[1]/c02[2]/did/unittitle, 1955-2008,"Magazine/Newspaper articles about Acton, 1955-2008"
affact.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[6]/c04[24]/did/unittitle, 1986-1990,"Task Force on Sexual Orientation, 1986-1990"
affactp.xml,/ead/archdesc/dsc/c01[1]/c02[8]/c03[6]/did/unittitle, 1926-1985,"<title render=""italic"">Enrollment of and Degrees Granted to Female Student: The University of Michigan, Ann Arbor 1926-1985</title>,"
