id,title,ead,handle
03171,Mike Wallace CBS/60 Minutes papers,wallm60m.xml,2027.42/120434
06100,"West Side United Methodist Church (Ann Arbor, Mich.) records",westmeth.xml,2027.42/120435
0648,"Canterbury House, Ann Arbor, Mich. records",canterby.xml,2027.42/120436
0732,George Lincoln Rockwell sound recording,rockwellgl.xml,2027.42/120437
2009039,Arthur W. Kramer sound recording collection,krameraw.xml,2027.42/120438
2009045,George Cacioppo papers,cacioppo.xml,2027.42/120439
2010191,Jane Briggs Hart papers,hartjane.xml,2027.42/120440
2010215,Boyne USA Resorts records,boyneusa.xml,2027.42/120441
851077,George William Cushing papers and sound recordings,cushgeo.xml,2027.42/120448
851326,Michigan Fellowship of Reconciliation Records,mifelrec.xml,2027.42/120449
851378,Martha Wright Griffiths papers,griffmar.xml,2027.42/120450
8514,Guild House records,ghouse.xml,2027.42/120451
851647,Harlan Henthorne Hatcher Papers,hatcherh.xml,2027.42/120452
851649,Paul Blanshard papers,blanshar.xml,2027.42/120453
851732,James Frederick Lawton papers,lawtonjf.xml,2027.42/120454
85177,"Esquire, Inc. Records",esquire.xml,2027.42/120455
85187,Homer Ferguson Papers,ferguson.xml,2027.42/120456
85188,Arnold Gingrich Papers,gingrich.xml,2027.42/120457
851917,Irene Ellis Murphy papers,murphyi.xml,2027.42/120458
85199,Edward N. Hartwick Papers,hartwick.xml,2027.42/120459
852178,George Romney Papers,romneyg.xml,2027.42/120460
852228,Lenore LaFount Romney Papers,romneyll.xml,2027.42/120461
85232,R. W. Fleming papers,flemingr.xml,2027.42/120462
85287,Michigan Organization for Human Rights Records,mohr.xml,2027.42/120463
85506,Robert F. Williams papers,rfwms.xml,2027.42/120464
85519,Post Family Papers,postfam.xml,2027.42/120465
85530,Donald S. Leonard Papers,leonardd.xml,2027.42/120466
85686,Democratic Party of Michigan records,demparty.xml,2027.42/120467
85816,Republican Party (Mich.) State Central Committee Records,repscc.xml,2027.42/120468
85817,Neil Staebler papers,staeblrn.xml,2027.42/120469
86314,Hilary Whittaker papers,whitthil.xml,2027.42/120470
8634,Blair Moody Papers,moodyb.xml,2027.42/120471
86734,Frank Murphy papers,murphyf.xml,2027.42/120472
86996,Institute of Gerontology (University of Michigan) Records,iogeront.xml,2027.42/120473
87140,Clare E. Hoffman papers,choffman.xml,2027.42/120474
87334,Eclipse Jazz (University of Michigan) records,eclipsej.xml,2027.42/120475
8740,Center for the Education of Women (University of Michigan) records,cew.xml,2027.42/120476
8742,Center for Japanese Studies (University of Michigan) records,cjsum.xml,2027.42/120477
90139,Historica Critica sound recordings and videotapes,histcrit.xml,2027.42/120478
921506,Mark Nickerson sound recording collection,nickersonm.xml,2027.42/120479
93268,Frederick E. Moncrieff papers,moncrief.xml,2027.42/120480
9580,Carlos P. Romulo sound recording,romulocarlos.xml,2027.42/120481
9588,Archibald R. Hallock sound recording.,hallockarch.xml,2027.42/120482
9594,Randy Pratt sound recording,prattrandy.xml,2027.42/120483
9616,Walter Drew Papers,drewwalt.xml,2027.42/120484
9859,Galens Medical Society records,galens.xml,2027.42/120485
9997,D.C. Allen House of David Collection,hofdavid.xml,2027.42/120486
0080,National Housewives League of America Records,nathwive.xml,2027.42/117671
0601,Leslie Bassett Papers,bassettl.xml,2027.42/117672
2012151,Tommy Good collection.,,2027.42/117673
02115,Andrew S. Watson,watsonas.xml,2027.42/120433
